mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_data_prep__category_pipe__data_missing__strategy,param_data_prep__category_pipe__features_select,param_data_prep__numeric_pipe__data_missing__strategy,param_data_prep__numeric_pipe__features_select,param_model,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.1218729019165039,0.000398874667612678,0.10831251144409179,0.011223134437734688,most_frequent,passthrough,median,passthrough,SGDClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SGDClassifier()}",0.9285714285714286,0.9464285714285714,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9642857142857142,0.022587697572631252,24,0.9130434782608696,0.923076923076923,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.9532705918954655,0.028923717517631113,24,0.84,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9407272727272726,0.05335178744091427,24,1.0,0.8571428571428571,1.0,1.0,1.0,0.9714285714285715,0.05714285714285716,22
0.14600963592529298,0.001850105766032879,0.11210160255432129,0.015251385395707476,most_frequent,passthrough,median,passthrough,LogisticRegression(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LogisticRegression()}",0.9464285714285714,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.0195615199108988,9,0.9333333333333333,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9773643410852714,0.024348490455070478,9,0.875,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9568181818181818,0.04568125282327677,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.12426857948303223,0.005663025762405503,0.1119009017944336,0.012495714964326306,most_frequent,passthrough,median,passthrough,LinearSVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LinearSVC()}",0.9642857142857143,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9857142857142858,0.01336306209562122,6,0.9545454545454545,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9816067653276956,0.017065907882123116,7,0.9130434782608695,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9644268774703558,0.032761052624667365,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.12486858367919922,0.004007655472963137,0.10212874412536621,0.004905493235577216,most_frequent,passthrough,median,passthrough,SVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SVC()}",0.9464285714285714,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9785714285714284,0.017496355305594135,15,0.9333333333333333,1.0,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.9727131782945737,0.021652204961359493,15,0.875,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9477272727272726,0.04040088371507086,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1332425594329834,0.011063336098992755,0.11788511276245117,0.019477188643277896,most_frequent,passthrough,median,passthrough,DecisionTreeClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': DecisionTreeClassifier()}",0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9785714285714284,0.01749635530559412,15,0.9545454545454545,0.9500000000000001,0.9545454545454545,1.0,1.0,0.9718181818181819,0.0230701409826355,20,0.9130434782608695,1.0,0.9130434782608695,1.0,1.0,0.9652173913043478,0.04259982161362051,9,1.0,0.9047619047619048,1.0,1.0,1.0,0.980952380952381,0.03809523809523809,18
0.35984039306640625,0.029237761974362085,0.13124899864196776,0.007766088850193321,most_frequent,passthrough,median,passthrough,RandomForestClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': RandomForestClassifier()}",1.0,0.9642857142857143,1.0,1.0,1.0,0.9928571428571429,0.01428571428571428,3,1.0,0.9500000000000001,1.0,1.0,1.0,0.99,0.019999999999999976,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9047619047619048,1.0,1.0,1.0,0.980952380952381,0.03809523809523809,18
0.13603653907775878,0.020830155919076443,0.11349844932556152,0.0027781469144014,most_frequent,passthrough,mean,passthrough,SGDClassifier(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'mean', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SGDClassifier()}",1.0,0.9464285714285714,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9785714285714284,0.017496355305594135,15,1.0,0.923076923076923,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.9706618962432916,0.02544027024634161,21,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9727272727272727,0.022268088570756146,7,1.0,0.8571428571428571,1.0,1.0,1.0,0.9714285714285715,0.05714285714285716,22
0.1609736442565918,0.03457941724050015,0.10132827758789062,0.0036011494423093334,most_frequent,passthrough,mean,passthrough,LogisticRegression(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'mean', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LogisticRegression()}",0.9464285714285714,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.0195615199108988,9,0.9333333333333333,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9773643410852714,0.024348490455070478,9,0.875,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9568181818181818,0.04568125282327677,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.12426714897155762,0.0019537968476543307,0.1117020606994629,0.009117305704224372,most_frequent,passthrough,mean,passthrough,LinearSVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'mean', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': LinearSVC()}",0.9642857142857143,1.0,1.0,0.9821428571428571,0.9821428571428571,0.9857142857142858,0.01336306209562122,6,0.9545454545454545,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9816067653276956,0.017065907882123116,7,0.9130434782608695,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9644268774703558,0.032761052624667365,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.13244781494140626,0.00936285205982736,0.10491890907287597,0.014459440276935475,most_frequent,passthrough,mean,passthrough,SVC(),"{'data_prep__category_pipe__data_missing__strategy': 'most_frequent', 'data_prep__category_pipe__features_select': 'passthrough', 'data_prep__numeric_pipe__data_missing__strategy': 'mean', 'data_prep__numeric_pipe__features_select': 'passthrough', 'model': SVC()}",0.9464285714285714,1.0,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9785714285714284,0.017496355305594135,15,0.9333333333333333,1.0,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.9727131782945737,0.021652204961359493,15,0.875,1.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9477272727272726,0.04040088371507086,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
