mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_data_prep__category_pipe__features_select__k_out_features,param_data_prep__category_pipe__features_select__strategy,param_data_prep__numeric_pipe__data_missing__strategy,param_data_prep__numeric_pipe__features_select__k_out_features,param_data_prep__numeric_pipe__features_select__strategy,param_model,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.15159687995910645,0.0078049279967232115,0.11489124298095703,0.016210179290316557,1,filter_cat,median,1,filter_num,LogisticRegression(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': LogisticRegression()}",0.8928571428571429,0.9285714285714286,0.9642857142857143,0.875,0.8571428571428571,0.9035714285714287,0.03846546290810362,1852,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8285714285714286,0.8857142857142857,0.9428571428571428,0.8,0.7714285714285715,0.8457142857142858,0.06154474065296573,1855,0.7777777777777778,0.84,0.9130434782608695,0.75,0.7241379310344828,0.800991837414626,0.06800410272660486,1857,0.8750000000000001,0.9130434782608696,0.9545454545454545,0.8571428571428571,0.8400000000000001,0.8879463579898363,0.041184031376356636,1852,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.9,0.8857142857142858,0.9228571428571429,0.030772370326482855,1842
0.13863034248352052,0.008988840778664135,0.11050376892089844,0.013779231543338764,1,filter_cat,median,1,filter_num,SVC(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': SVC()}",0.8928571428571429,0.9285714285714286,0.9642857142857143,0.875,0.8571428571428571,0.9035714285714287,0.03846546290810362,1852,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8285714285714286,0.8857142857142857,0.9428571428571428,0.8,0.7714285714285715,0.8457142857142858,0.06154474065296573,1855,0.7777777777777778,0.84,0.9130434782608695,0.75,0.7241379310344828,0.800991837414626,0.06800410272660486,1857,0.8750000000000001,0.9130434782608696,0.9545454545454545,0.8571428571428571,0.8400000000000001,0.8879463579898363,0.041184031376356636,1852,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.9,0.8857142857142858,0.9228571428571429,0.030772370326482855,1842
0.12067761421203613,0.0027486708541101584,0.11170125007629395,0.010796934094456916,1,filter_cat,median,1,filter_num,DecisionTreeClassifier(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': DecisionTreeClassifier()}",0.9464285714285714,0.9107142857142857,0.9464285714285714,0.9642857142857143,0.9464285714285714,0.9428571428571428,0.017496355305594135,1591,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.9047619047619048,0.030116930096841705,1951,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9657142857142856,0.02138089935299396,988,0.95,0.9,0.95,1.0,0.9090909090909091,0.9418181818181818,0.03560573823193843,1221,0.9268292682926829,0.8780487804878048,0.9268292682926829,0.9500000000000001,0.9302325581395349,0.9223879750425411,0.023788130449647556,1674,0.938095238095238,0.9,0.938095238095238,0.9523809523809523,0.9476190476190476,0.9352380952380953,0.018467351837776463,1780
0.34467787742614747,0.008754793959013709,0.11589064598083496,0.005758932755411444,1,filter_cat,median,1,filter_num,RandomForestClassifier(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': RandomForestClassifier()}",0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9821428571428571,0.9642857142857143,0.9607142857142857,0.017496355305594107,1312,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,0.030116930096841705,1814,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9657142857142856,0.02138089935299396,988,0.9523809523809523,0.9047619047619048,0.9523809523809523,1.0,0.9130434782608695,0.9445134575569357,0.03397969066489216,1207,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.975609756097561,0.9545454545454545,0.9479358040333649,0.023293945001693857,1364,0.9619047619047619,0.9238095238095237,0.9619047619047619,0.9761904761904762,0.9714285714285714,0.959047619047619,0.01846735183777651,1444
0.1310500144958496,0.010376755967608144,0.10611581802368164,0.007152602163810358,1,filter_cat,median,1,filter_num,KNeighborsClassifier(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': KNeighborsClassifier()}",0.9821428571428571,0.9285714285714286,0.9642857142857143,0.9821428571428571,0.9642857142857143,0.9642857142857142,0.01956151991089876,1253,1.0,0.9047619047619048,0.9523809523809523,0.9523809523809523,1.0,0.9619047619047618,0.03563483225498992,1663,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9657142857142856,0.02138089935299396,988,0.9545454545454546,0.9047619047619048,0.9523809523809523,1.0,0.9130434782608695,0.9449463579898362,0.03409077107739423,1196,0.9767441860465117,0.9047619047619048,0.9523809523809523,0.975609756097561,0.9545454545454545,0.9528084507664769,0.026094020265817603,1288,0.9857142857142857,0.9238095238095237,0.9619047619047619,0.9761904761904762,0.9714285714285714,0.9638095238095238,0.021423279769908564,1325
0.9480668544769287,0.09651075799604561,0.11170086860656739,0.0045926721993248135,1,filter_cat,median,1,filter_num,"MLPClassifier(alpha=1, max_iter=1000)","{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': MLPClassifier(alpha=1, max_iter=1000)}",0.8928571428571429,0.9107142857142857,0.9821428571428571,0.875,0.8571428571428571,0.9035714285714285,0.04315373561998061,1855,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8285714285714286,0.8571428571428571,0.9714285714285714,0.8,0.7714285714285715,0.8457142857142858,0.06904597699196896,1855,0.7777777777777778,0.8076923076923077,0.9545454545454546,0.75,0.7241379310344828,0.8028306942100046,0.08081124381911747,1856,0.8750000000000001,0.8936170212765957,0.9767441860465117,0.8571428571428571,0.8400000000000001,0.8885008128931929,0.04760460205193566,1851,0.9142857142857143,0.9285714285714286,0.9857142857142857,0.9,0.8857142857142858,0.9228571428571429,0.03452298849598445,1842
0.23417396545410157,0.010655854630718598,0.11808500289916993,0.0023268637801117514,1,filter_cat,median,1,filter_num,AdaBoostClassifier(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': AdaBoostClassifier()}",0.9821428571428571,0.9285714285714286,0.9642857142857143,0.9821428571428571,0.9642857142857143,0.9642857142857142,0.01956151991089876,1253,1.0,0.9047619047619048,0.9523809523809523,0.9523809523809523,1.0,0.9619047619047618,0.03563483225498992,1663,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9657142857142856,0.02138089935299396,988,0.9545454545454546,0.9047619047619048,0.9523809523809523,1.0,0.9130434782608695,0.9449463579898362,0.03409077107739423,1196,0.9767441860465117,0.9047619047619048,0.9523809523809523,0.975609756097561,0.9545454545454545,0.9528084507664769,0.026094020265817603,1288,0.9857142857142857,0.9238095238095237,0.9619047619047619,0.9761904761904762,0.9714285714285714,0.9638095238095238,0.021423279769908564,1325
0.12925543785095214,0.00816591887133019,0.11369404792785645,0.0056418193079559534,1,filter_cat,median,1,filter_num,GaussianNB(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': GaussianNB()}",0.7857142857142857,0.8392857142857143,0.875,0.8035714285714286,0.7678571428571429,0.8142857142857144,0.03846546290810359,1946,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.6571428571428571,0.7428571428571429,0.8,0.6857142857142857,0.6285714285714286,0.702857142857143,0.06154474065296578,1947,0.6363636363636364,0.7,0.75,0.65625,0.6176470588235294,0.6720521390374332,0.04762403077304542,1947,0.7777777777777778,0.8235294117647058,0.8571428571428571,0.7924528301886793,0.7636363636363637,0.8029078481020768,0.033614765861923857,1945,0.8285714285714285,0.8714285714285714,0.9,0.8428571428571429,0.8142857142857143,0.8514285714285714,0.0307723703264829,1945
0.18151378631591797,0.022559150125525805,0.10870895385742188,0.003624136972614668,1,filter_cat,median,1,filter_num,XGBClassifier(random_state=42),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': XGBClassifier(random_state=42)}",0.9821428571428571,0.9285714285714286,0.9642857142857143,0.9821428571428571,0.9642857142857143,0.9642857142857142,0.01956151991089876,1253,1.0,0.9047619047619048,0.9523809523809523,0.9523809523809523,1.0,0.9619047619047618,0.03563483225498992,1663,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9657142857142856,0.02138089935299396,988,0.9545454545454546,0.9047619047619048,0.9523809523809523,1.0,0.9130434782608695,0.9449463579898362,0.03409077107739423,1196,0.9767441860465117,0.9047619047619048,0.9523809523809523,0.975609756097561,0.9545454545454545,0.9528084507664769,0.026094020265817603,1288,0.9857142857142857,0.9238095238095237,0.9619047619047619,0.9761904761904762,0.9714285714285714,0.9638095238095238,0.021423279769908564,1325
0.2988008499145508,0.020783579580103587,0.1258641242980957,0.014390054201484495,1,filter_cat,median,1,filter_num,ExtraTreesClassifier(),"{'data_prep__category_pipe__features_select__k_out_features': 1, 'data_prep__category_pipe__features_select__strategy': 'filter_cat', 'data_prep__numeric_pipe__data_missing__strategy': 'median', 'data_prep__numeric_pipe__features_select__k_out_features': 1, 'data_prep__numeric_pipe__features_select__strategy': 'filter_num', 'model': ExtraTreesClassifier()}",0.9464285714285714,0.9107142857142857,0.9464285714285714,0.9642857142857143,0.9464285714285714,0.9428571428571428,0.017496355305594135,1591,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.9047619047619048,0.030116930096841705,1951,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9657142857142856,0.02138089935299396,988,0.95,0.9,0.95,1.0,0.9090909090909091,0.9418181818181818,0.03560573823193843,1221,0.9268292682926829,0.8780487804878048,0.9268292682926829,0.9500000000000001,0.9302325581395349,0.9223879750425411,0.023788130449647556,1674,0.938095238095238,0.9,0.938095238095238,0.9523809523809523,0.9476190476190476,0.9352380952380953,0.018467351837776463,1780
